127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-includes/js/dist/vendor/moment.min.js?ver=2.29.4 HTTP/1.0" 200 57925
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-includes/js/dist/date.min.js?ver=aaca6387d1cf924acc51 HTTP/1.0" 200 783428
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-includes/js/thickbox/thickbox.js?ver=3.1-20121105 HTTP/1.0" 200 13275
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-admin/js/plugin-install.min.js?ver=6.5.2 HTTP/1.0" 200 2403
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-admin/js/dashboard.min.js?ver=6.5.2 HTTP/1.0" 200 8797
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-includes/js/wp-sanitize.min.js?ver=6.5.2 HTTP/1.0" 200 458
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-admin/js/media-upload.min.js?ver=6.5.2 HTTP/1.0" 200 1152
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-includes/js/shortcode.min.js?ver=6.5.2 HTTP/1.0" 200 2643
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-admin/js/updates.min.js?ver=6.5.2 HTTP/1.0" 200 48197
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-admin/js/svg-painter.js?ver=6.5.2 HTTP/1.0" 200 5522
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-includes/js/heartbeat.min.js?ver=6.5.2 HTTP/1.0" 200 6013
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-includes/js/wp-auth-check.min.js?ver=6.5.2 HTTP/1.0" 200 1658
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-includes/js/wplink.min.js?ver=6.5.2 HTTP/1.0" 200 11253
